Clans,Pfam_List,Pfam_List_in_combine
CL0708,"['PF00659', 'PF15016', 'PF15025', 'PF18190', 'PF18409', 'PF18531', 'PF18544']","['PF00659', 'PF15016', 'PF15025', 'PF18190', 'PF18409']"
CL0709,"['PF15009', 'PF20300']",['PF15009']
CL0710,"['PF04143', 'PF20398']",[]
CL0713,"['PF00487', 'PF04116', 'PF10520']","['PF00487', 'PF04116', 'PF10520']"
CL0714,"['PF00115', 'PF05940', 'PF11070']",['PF00115']
CL0715,"['PF05994', 'PF09735', 'PF14745']","['PF05994', 'PF09735', 'PF14745']"
CL0716,"['PF00230', 'PF01226', 'PF10136']",[]
CL0717,"['PF02575', 'PF10921']",[]
CL0718,"['PF03036', 'PF17316']",['PF03036']
CL0719,"['PF00769', 'PF20491']","['PF00769', 'PF20491']"
CL0720,"['PF03310', 'PF09596', 'PF11498']",['PF09596']
CL0721,"['PF01299', 'PF05827']","['PF01299', 'PF05827']"
CL0722,"['PF03313', 'PF03972']",['PF03972']
CL0723,"['PF09034', 'PF13820', 'PF20694']","['PF09034', 'PF13820']"
CL0724,"['PF05557', 'PF08234', 'PF08286', 'PF09496', 'PF12539']","['PF05557', 'PF08234', 'PF08286', 'PF09496']"
CL0725,"['PF01442', 'PF04691', 'PF04711', 'PF05355', 'PF05778', 'PF07464']","['PF01442', 'PF04691', 'PF04711', 'PF05355', 'PF05778']"
CL0726,"['PF06954', 'PF18459', 'PF18463', 'PF18464']","['PF06954', 'PF18459', 'PF18463', 'PF18464']"
CL0727,"['PF01156', 'PF07632']",[]
CL0728,"['PF09707', 'PF09827', 'PF20229', 'PF20803']",[]
CL0730,"['PF00048', 'PF05259', 'PF20902']",[]
CL0731,"['PF10628', 'PF12673', 'PF18166', 'PF20918']",[]
CL0732,"['PF14780', 'PF20945']",['PF14780']
CL0733,"['PF01386', 'PF03562', 'PF03950', 'PF20974']",['PF03950']
CL0734,"['PF01900', 'PF20976']",['PF01900']
CL0735,"['PF02686', 'PF20977', 'PF20978']",['PF02686']
CL0736,"['PF17840', 'PF18514']",['PF17840']
CL0737,"['PF18454', 'PF20010']",['PF20010']
CL0738,"['PF02863', 'PF08712']",['PF08712']
CL0740,"['PF03143', 'PF08669', 'PF09173', 'PF20258', 'PF21110', 'PF21130']","['PF03143', 'PF08669', 'PF09173', 'PF20258']"
CL0741,"['PF00094', 'PF06534']",['PF06534']
CL0742,"['PF03829', 'PF04027']",[]
CL0743,"['PF00435', 'PF02970', 'PF18373', 'PF21019', 'PF21020', 'PF21097']","['PF02970', 'PF18373']"
CL0745,"['PF04212', 'PF12063', 'PF12513', 'PF17169', 'PF18572', 'PF21126', 'PF21127']","['PF04212', 'PF12063', 'PF12513', 'PF17169']"
CL0746,"['PF18876', 'PF21204']",['PF18876']
CL0747,"['PF02926', 'PF21237', 'PF21239']",['PF02926']
CL0748,"['PF08275', 'PF21268']",[]
CL0749,"['PF03633', 'PF17390', 'PF21270']",[]
CL0750,"['PF08516', 'PF16698', 'PF17771', 'PF19236', 'PF21299']",['PF16698']
CL0752,"['PF05757', 'PF16785', 'PF21329']",[]
CL0753,"['PF00401', 'PF21334', 'PF21335']",[]
CL0754,"['PF02878', 'PF02879', 'PF02880', 'PF21404', 'PF21405']","['PF02878', 'PF02879', 'PF02880']"
CL0755,"['PF04259', 'PF08175', 'PF08176', 'PF08177', 'PF08179', 'PF09575', 'PF13081', 'PF13213', 'PF13215', 'PF13217', 'PF14115', 'PF14139', 'PF14140', 'PF14151', 'PF14152', 'PF17227', 'PF17444', 'PF19756', 'PF19767', 'PF19907']",[]
CL0756,"['PF02063', 'PF05466', 'PF06614']","['PF02063', 'PF05466', 'PF06614']"
CL0757,"['PF05083', 'PF11770', 'PF15050', 'PF15234', 'PF15330', 'PF15332', 'PF15347', 'PF15681', 'PF15703']","['PF05083', 'PF11770', 'PF15050', 'PF15234', 'PF15332', 'PF15347', 'PF15681', 'PF15703']"
CL0758,"['PF01197', 'PF09776', 'PF21492']",['PF09776']
CL0759,"['PF08156', 'PF21572', 'PF21667']",['PF08156']
CL0760,"['PF10293', 'PF10305', 'PF10344', 'PF10347', 'PF10351', 'PF10359', 'PF10479', 'PF12624', 'PF13329', 'PF16908', 'PF16910', 'PF20413', 'PF21675', 'PF21676', 'PF21677', 'PF21678']","['PF10344', 'PF10347', 'PF10351', 'PF10479', 'PF12624', 'PF16908', 'PF16910']"
CL0761,"['PF21707', 'PF21709']",[]
CL0763,"['PF04965', 'PF10934', 'PF17482', 'PF18945']",[]
CL0764,"['PF02503', 'PF05005']",['PF05005']
CL0765,"['PF10178', 'PF16093', 'PF21758']","['PF10178', 'PF16093']"
CL0766,"['PF07209', 'PF08892', 'PF21780']",[]
CL0767,"['PF07791', 'PF09535', 'PF15570']",[]
CL0768,"['PF06124', 'PF21781']",[]
CL0769,"['PF14423', 'PF21805']",[]
CL0770,"['PF21774', 'PF21809']",[]
CL0771,"['PF03883', 'PF21818']",[]
